Date,Production (HL)
2008-01,589
2008-02,561
2008-03,640
2008-04,656
2008-05,727
2008-06,697
2008-07,640
2008-08,599
2008-09,568
2008-10,577
2008-11,553
2008-12,582
2009-01,600
2009-02,566
2009-03,653
2009-04,673
2009-05,742
2009-06,716
2009-07,660
2009-08,617
2009-09,583
2009-10,587
2009-11,565
2009-12,598
2010-01,628
2010-02,618
2010-03,688
2010-04,705
2010-05,770
2010-06,736
2010-07,678
2010-08,639
2010-09,604
2010-10,611
2010-11,594
2010-12,634
2011-01,658
2011-02,622
2011-03,709
2011-04,722
2011-05,782
2011-06,756
2011-07,702
2011-08,653
2011-09,615
2011-10,621
2011-11,602
2011-12,635
2012-01,677
2012-02,635
2012-03,736
2012-04,755
2012-05,811
2012-06,798
2012-07,735
2012-08,697
2012-09,661
2012-10,667
2012-11,645
2012-12,688
2013-01,713
2013-02,667
2013-03,762
2013-04,784
2013-05,837
2013-06,817
2013-07,767
2013-08,722
2013-09,681
2013-10,687
2013-11,660
2013-12,698
2014-01,717
2014-02,696
2014-03,775
2014-04,796
2014-05,858
2014-06,826
2014-07,783
2014-08,740
2014-09,701
2014-10,706
2014-11,677
2014-12,711
2015-01,734
2015-02,690
2015-03,785
2015-04,805
2015-05,871
2015-06,845
2015-07,801
2015-08,764
2015-09,725
2015-10,723
2015-11,690
2015-12,734
2016-01,750
2016-02,707
2016-03,807
2016-04,824
2016-05,886
2016-06,859
2016-07,819
2016-08,783
2016-09,740
2016-10,747
2016-11,711
2016-12,751
2017-01,804
2017-02,756
2017-03,860
2017-04,878
2017-05,942
2017-06,913
2017-07,869
2017-08,834
2017-09,790
2017-10,800
2017-11,763
2017-12,800
2018-01,826
2018-02,799
2018-03,890
2018-04,900
2018-05,961
2018-06,935
2018-07,894
2018-08,855
2018-09,809
2018-10,810
2018-11,766
2018-12,805
2019-01,821
2019-02,773
2019-03,883
2019-04,898
2019-05,957
2019-06,924
2019-07,881
2019-08,837
2019-09,784
2019-10,791
2019-11,760
2019-12,802
2020-01,828
2020-02,778
2020-03,889
2020-04,902
2020-05,969
2020-06,947
2020-07,908
2020-08,867
2020-09,815
2020-10,812
2020-11,773
2020-12,813
2021-01,834
2021-02,782
2021-03,892
2021-04,903
2021-05,966
2021-06,937
2021-07,896
2021-08,858
2021-09,817
2021-10,827
2021-11,797
2021-12,843
